Number,Question,Sections
164,"Was passierte am 9. November 1938 in Deutschland?","['History']"
165,"Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?","['History']"
166,"Bei welchen Demonstrationen in Deutschland riefen die Menschen 'Wir sind das Volk'?","['History']"
167,"Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als 'Alliierte Besatzungsmächte' bezeichnet?","['History']"
168,"Welches Land war keine 'Alliierte Besatzungsmacht' in Deutschland?","['History']"
169,"Wann wurde die Bundesrepublik Deutschland gegründet?","['History']"
170,"Was gab es während der Zeit des Nationalsozialismus in Deutschland?","['History']"
171,"Soziale Marktwirtschaft bedeutet, die Wirtschaft …","['Economy']"
172,"In welcher Besatzungszone wurde die DDR gegründet? In der …","['History']"
173,"Die Bundesrepublik Deutschland ist ein Gründungsmitglied …","['Politics', 'History']"
174,"Wann wurde die DDR gegründet?","['History']"
175,"Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?","['History']"
176,"Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?","['History']"
177,"Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?","['History']"
178,"Vom Juni 1948 bis zum Mai 1949 wurden die Bürgerinnen und Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?","['History']"
179,"Wie endete der Zweite Weltkrieg in Europa offiziell?","['History']"
180,"Der erste Bundeskanzler der Bundesrepublik Deutschland war …","['History']"
181,"Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?","['History', 'Society and Culture']"
182,"Wie heißt das jüdische Gebetshaus?","['Society and Culture']"
183,"Wann war in der Bundesrepublik Deutschland das 'Wirtschaftswunder'?","['History', 'Economy']"
184,"Auf welcher rechtlichen Grundlage wurde der Staat Israel gegründet?","['History']"
185,"Wofür stand der Ausdruck 'Eiserner Vorhang'?","['History']"
186,"Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?","['History']"
187,"Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?","['History']"
188,"In welchem Jahr wurde die Mauer in Berlin gebaut?","['History']"
189,"Wann baute die DDR die Mauer in Berlin?","['History']"
190,"Was bedeutet die Abkürzung DDR?","['History']"
191,"Wann wurde die Mauer in Berlin für alle geöffnet?","['History']"
192,"Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?","['Geography', 'History']"
193,"Von 1961 bis 1989 war Berlin …","['History']"
194,"Am 3. Oktober feiert man in Deutschland den Tag der Deutschen …","['History']"
195,"Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?","['Geography', 'History']"
196,"Warum nennt man die Zeit im Herbst 1989 in der DDR 'Die Wende'?","['History']"
197,"Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?","['Geography', 'History']"
198,"Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?","['Geography', 'History']"
199,"Mit der Abkürzung 'Stasi' meinte man in der DDR …","['History']"
200,"Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?","['Geography', 'History']"
201,"Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?","['Geography', 'History']"
202,"Zu wem gehörte die DDR im 'Kalten Krieg'?","['History']"
203,"Wie hieß das Wirtschaftssystem der DDR?","['History']"
204,"Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?","['History']"
205,"Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch …","['History']"
206,"Woran erinnern die sogenannten „Stolpersteine“ in Deutschland?","['History', 'Society and Culture']"
207,"In welchem Militärbündnis war die DDR Mitglied?","['History']"
208,"Was war die 'Stasi'?","['History']"
209,"Welches war das Wappen der Deutschen Demokratischen Republik?","['History']"
210,"Was ereignete sich am 17. Juni 1953 in der DDR?","['History']"
211,"Welcher Politiker steht für die 'Ostverträge'?","['History', 'Politics']"
212,"Wie heißt Deutschland mit vollem Namen?","['Geography', 'Politics']"
213,"Wie viele Einwohner hat Deutschland?","['Geography', 'Society and Culture']"
214,"Welche Farben hat die deutsche Flagge?","['Symbols and Identity']"
215,"Wer wird als 'Kanzler der Deutschen Einheit' bezeichnet?","['History']"
216,"Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?","['Symbols and Identity', 'Politics']"
217,"In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?","['History']"
218,"Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?","['History']"
219,"Die Bundesrepublik Deutschland hat die Grenzen von heute seit …","['Geography', 'History']"
220,"Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?","['History', 'Society and Culture']"
221,"Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?","['Politics']"
222,"Welches Land ist ein Nachbarland von Deutschland?","['Geography']"
223,"Welches Land ist ein Nachbarland von Deutschland?","['Geography']"
224,"Was bedeutet die Abkürzung EU?","['Politics', 'European Union']"
225,"In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?","['Geography', 'European Union']"
226,"Welche ist die Flagge der Europäischen Union?","['European Union', 'Symbols and Identity']"
227,"Welches Land ist ein Nachbarland von Deutschland?","['Geography']"
228,"Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?","['History']"
229,"Welches Land ist ein Nachbarland von Deutschland?","['Geography']"
230,"Das Europäische Parlament wird regelmäßig gewählt, nämlich alle …","['Politics', 'European Union']"
231,"Was bedeutet der Begriff 'europäische Integration'?","['European Union']"
232,"Wer wird bei der Europawahl gewählt?","['European Union']"
233,"Welches Land ist ein Nachbarland von Deutschland?","['Geography']"
234,"Wo ist der Sitz des Europäischen Parlaments?","['European Union']"
235,"Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?","['History', 'European Union']"
236,"Wie viele Mitgliedstaaten hat die EU heute?","['European Union']"
237,"2007 wurde das 50-jährige Jubiläum der 'Römischen Verträge' gefeiert. Was war der Inhalt der Verträge?","['European Union', 'History']"
238,"An welchen Orten arbeitet das Europäische Parlament?","['European Union']"
239,"Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?","['European Union', 'History']"
240,"Seit wann bezahlt man in Deutschland mit dem Euro in bar?","['Economy', 'European Union']"
241,"Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?","['Law and Rights', 'Society and Culture']"
242,"Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?","['Law and Rights', 'Society and Culture']"
243,"Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?","['Law and Rights', 'Society and Culture']"
244,"Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?","['Education']"
245,"Wer darf in Deutschland nicht als Paar zusammenleben?","['Law and Rights']"
246,"Ab welchem Alter ist man in Deutschland volljährig?","['Law and Rights']"
247,"Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?","['Law and Rights', 'Society and Culture']"
248,"Die Erziehung der Kinder ist in Deutschland ist vor allem Aufgabe …","['Law and Rights', 'Society and Culture']"
249,"Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?","['Law and Rights', 'Society and Culture']"
250,"In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man …","['Economy']"
251,"Wenn man in Deutschland ein Kind schlägt, …","['Law and Rights']"
252,"In Deutschland …","['Law and Rights']"
253,"Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?","['Law and Rights']"
254,"In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das 'Trennungsjahr' einhalten. Was bedeutet das?","['Law and Rights']"
255,"Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom …","['Law and Rights', 'Society and Culture']"
256,"Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?","['Law and Rights', 'Economy']"
257,"Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an …","['Education']"
258,"Was darf das Jugendamt in Deutschland?","['Law and Rights', 'Society and Culture']"
259,"Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der …","['Economy']"
260,"In Deutschland hat ein Kind in der Schule …","['Education']"
261,"Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun?","['Education']"
262,"Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?","['Law and Rights']"
263,"In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, …","['Law and Rights']"
264,"Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?","['Society and Culture']"
265,"Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?","['Law and Rights']"
266,"Wann beginnt die gesetzliche Nachtruhe in Deutschland?","['Law and Rights']"
267,"Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?","['Law and Rights', 'Society and Culture']"
268,"Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?","['Law and Rights', 'Society and Culture']"
269,"In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf …","['Education', 'Society and Culture']"
270,"Die Volkshochschule in Deutschland ist eine Einrichtung …","['Education']"
271,"Was ist in Deutschland ein Brauch zu Weihnachten?","['Society and Culture']"
272,"Welche Lebensform ist in Deutschland nicht erlaubt?","['Law and Rights']"
273,"Bei Erziehungsproblemen gehen Sie in Deutschland …","['Law and Rights', 'Society and Culture']"
274,"Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?","['Law and Rights']"
275,"Was braucht man in Deutschland für eine Ehescheidung?","['Law and Rights']"
276,"Was sollten Sie tun, wenn Sie von Ihrer Ansprechpartnerin/Ihrem Ansprechpartner in einer deutschen Behörde schlecht behandelt werden?","['Law and Rights']"
277,"Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie …","['Law and Rights']"
278,"Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er …","['Law and Rights']"
279,"In den meisten Mietshäusern in Deutschland gibt es eine 'Hausordnung'. Was steht in einer solchen 'Hausordnung'?","['Law and Rights']"
280,"Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie …","['Law and Rights']"
281,"Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf …","['Law and Rights']"
282,"Welches Ehrenamt müssen deutsche Staatsbürgerinnen und Staatsbürger übernehmen, wenn sie dazu aufgefordert werden?","['Law and Rights', 'Society and Culture']"
283,"Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?","['Law and Rights']"
284,"Was man für die Arbeit können muss, ändert sich in Zukunft sehr schnell. Was kann man tun?","['Economy', 'Education']"
285,"Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?","['Economy']"
286,"Welche Organisation in einer Firma hilft den Arbeitnehmerinnen und Arbeitnehmern bei Problemen mit der Arbeitgeberin/dem Arbeitgeber?","['Economy']"
287,"Sie möchten bei einer Firma in Deutschland ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?","['Law and Rights', 'Economy']"
288,"Woraus begründet sich Deutschlands besondere Verantwortung für Israel?","['History']"
289,"Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil …","['Law and Rights']"
290,"Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?","['Law and Rights']"
291,"Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht?","['Law and Rights']"
292,"Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?","['Law and Rights', 'Society and Culture']"
293,"Was ist in Deutschland ein Brauch zu Ostern?","['Society and Culture']"
294,"Pfingsten ist ein …","['Society and Culture']"
295,"Welche Religion hat die europäische und deutsche Kultur geprägt?","['Society and Culture']"
296,"In Deutschland nennt man die letzten vier Wochen vor Weihnachten …","['Society and Culture']"
297,"Aus welchem Land sind die meisten Migrantinnen und Migranten nach Deutschland gekommen?","['Society and Culture']"
298,"In der DDR lebten vor allem Migrantinnen und Migranten aus …","['History']"
299,"Ausländische Arbeitnehmerinnen und Arbeitnehmer, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man …","['History']"
300,"Aus welchem Land kamen die ersten Gastarbeiterinnen und Gastarbeiter nach Bundesrepublik Deutschland?","['History']"